problemSize	problemNum	lineTypes	boxLimit	boxNum	machineCount	carCount	bufferSize	sortReturns	algType	iterCount	tabuSize	neigbourhoodSize	moveProb	other	best	worst	mean	minIter	maxIter	meanIter
20	4	A	0	27	4	30	6	true	3	1000	50	1000	0.5	none	2950	2991	2969.2	0	0	0.0
20	4	A		27	4	30	6	true	3	1000	50	1000	0.5	none	2950	2978	2959.8			
20	4	A		27	4	30	6	true	3	1000	50	1000	0.5	none	2950	2978	2961.2			
20	4	A		27	4	30	6	true	3	1000	50	1000	0.5	none	2950	2991	2965.2			
20	4	A		27	4	30	6	true	3	1000	50	1000	0.5	none	2950	2991	2961.0			
20	4	A		27	6	30	6	true	3	1000	10	1458	0.5	none	2455	2602	2502.3			
20	4	A		27	6	30	6	true	3	1000	50	1458	0.5	none	2462	2524	2498.6			
20	4	A		27	6	30	6	true	3	1000	75	1458	0.5	none	2455	2538	2502.7			
20	4	A		27	6	30	6	true	3	1000	100	1458	0.5	none	2455	2538	2506.8			
20	4	A		27	6	30	6	true	3	1000	200	1458	0.5	none	2476	2538	2503.4			
20	4	A		27	6	30	6	true	3	1000	400	1458	0.5	none	2504	2538	2522.8			
50	1	A		101	6	30	6	true	3	1000	25	1000	0.5	none	5185	5193	5186.0			
50	1	A		101	6	30	6	true	3	1000	50	1000	0.5	none	5185	5200	5188.4			
50	1	A		101	6	30	6	true	3	1000	100	1000	0.5	none	5185	5187	5185.6			
50	1	A		101	6	30	6	true	3	1000	200	1000	0.5	none	5185	5200	5187.0			
50	1	A		101	6	30	6	true	3	1000	400	1000	0.5	none	5184	5194	5187.0			
50	1	A		101	6	30	6	true	3	1000	800	1000	0.5	none	5185	5193	5186.6			
50	1	A		101	6	30	6	true	3	1000	1000	1000	0.5	none	5184	5187	5185.7			
50	1	A		101	6	30	6	true	3	1500	1000	1000	0.5	none	5185	5193	5186.4			
50	1	A		101	6	30	6	true	3	1500	1200	1000	0.5	none	5185	5199	5188.2			
50	1	A		101	6	30	6	true	3	1500	1600	1000	0.5	none	5185	5193	5186.4			
20	4	A		27	6	30	6	true	5	1000	10	1458	0.5	none	2476	2517	2507.6			
20	4	A		27	6	30	6	true	5	1000	25	1458	0.5	none	2455	2538	2499.3			
20	4	A		27	6	30	6	true	5	1000	50	1458	0.5	none	2455	2538	2498.5			
20	4	A		27	6	30	6	true	5	1000	100	1458	0.5	none	2455	2517	2497.3			
20	4	A		27	6	30	6	true	5	1000	200	1458	0.5	none	2455	2538	2503.4			
20	4	A		27	6	30	6	true	5	1000	400	1458	0.5	none	2462	2538	2503.6			
20	4	A		27	6	30	6	true	5	1000	700	1458	0.5	none	2462	2538	2500.2			
50	1	A		101	6	30	6	true	5	1500	50	1000	0.5	none	5185	5187	5185.7			
50	1	A		101	6	30	6	true	5	1500	100	1000	0.5	none	5185	5221	5189.3			
50	1	A		101	6	30	6	true	5	1500	200	1000	0.5	none	5185	5186	5185.5			
